ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2017-12-01,80.0,2018-05-01,47.5,-13687.5,-16294.642857142859
,2021-05-01,87.5,2021-10-01,39.45000076293945,-15937.199478149414,-18110.453952442516
,2014-09-01,6297.14990234375,2020-03-01,18827.94921875,50920.203125,801.8929625984252
,2010-04-01,14.706250190734863,2011-11-01,10.09375,-8640.262888908386,-58702.42302443065
,2020-02-01,173.2375030517578,2020-03-01,125.57499694824219,-8390.5,-4780.911680911681
,2014-08-01,708.7999877929688,2015-03-01,426.3999938964844,-12016.198974609375,-1696.9636193909241
,2022-02-01,268.3999938964844,2023-03-01,214.35000610351562,-5871.899322509766,-2187.7419731888745
,2015-02-01,1673.449951171875,2016-01-01,1240.050048828125,-7395.0,-440.17857142857144
,2021-07-01,2394.10009765625,2023-02-01,1731.699951171875,-7863.6005859375,-328.3340536925887
,2010-07-01,112.30000305175781,2011-08-01,71.30000305175781,-11574.449592590332,-10095.463967331685
,2014-05-01,122.75,2016-01-01,114.44999694824219,-1903.1988830566406,-1538.5601697734605
,2021-01-01,509.70001220703125,2023-01-01,612.6500244140625,6536.6007080078125,1270.970418657509
,2014-07-01,37.724998474121094,2016-11-01,24.825000762939453,-9818.24878692627,-26287.146420445224
,2010-09-01,36.494998931884766,2011-11-01,13.96500015258789,-17993.58106613159,-49996.05509020396
,2014-06-01,24.1200008392334,2019-01-01,189.89999389648438,206661.17317199707,847319.3044019012
,2010-07-01,33.8677978515625,2012-08-01,29.22875213623047,-3824.519748687744,-11343.363530637294
,2014-09-01,98.49689483642578,2016-12-01,76.04722595214844,-6312.638671875,-6490.858474902362
,2017-11-01,141.6842041015625,2018-06-01,92.6290512084961,-10426.380065917969,-7286.462439813391
,2013-11-01,419.3999938964844,2019-08-01,1534.6500244140625,78838.40173339844,18583.0057120562
,2010-07-01,865.5999755859375,2013-08-01,744.0499877929688,-4692.0,-528.3783783783784
,2014-03-01,17.850000381469727,2017-01-01,35.650001525878906,29568.00064086914,165647.05887381377
,2018-01-01,65.0999984741211,2018-06-01,39.54999923706055,-11707.000350952148,-17941.76298996498
,2020-06-01,81.0,2022-03-01,72.44999694824219,-3311.4988708496094,-4063.188798588478
,2021-07-01,65.4000015258789,2023-03-01,59.400001525878906,-3228.897903442383,-4751.873507664539
,2014-06-01,260.3999938964844,2018-05-01,723.5,53935.0,20744.23076923077
,2014-11-01,217.9499969482422,2018-09-01,248.4499969482422,5640.97541809082,2589.6823124625976
,2010-08-01,204.25,2011-12-01,132.9499969482422,-10606.901336669922,-5179.150966120497
,2021-08-01,105.25,2023-07-01,108.94999694824219,1282.5,1217.9486826506704
,2014-07-01,340.0,2018-07-01,620.5,24239.60107421875,7159.829256600604
,2021-08-01,217.32142639160156,2024-03-01,231.60000610351562,2547.087158203125,1186.6629264267995
,2014-10-01,26.65021514892578,2018-06-01,45.59968948364258,22452.102184295654,84247.35807508351
,2010-10-01,108.15283203125,2011-09-01,67.00352478027344,-11993.031494140625,-11073.871907205366
,2014-11-01,126.94999694824219,2018-12-01,255.5,31152.0,24723.809523809523
,2021-01-01,117.0,2022-10-01,88.69999694824219,-7116.80078125,-6108.841872317596
,2014-11-01,52.400001525878906,2018-12-01,102.5,28800.199127197266,54857.522147042415
,2014-10-01,84.32643127441406,2018-06-01,191.4412384033203,39013.1409072876,47112.017818712266
,2014-07-01,62.70000076293945,2019-01-01,511.8500061035156,217633.39963531494,364545.0533568792
,2010-09-01,16.12800407409668,2017-01-01,173.4075469970703,293527.60122299194,1842088.2569192024
,2018-04-01,697.75,2018-10-01,523.9500122070312,-6972.0,-999.2117520601935
,2010-07-01,108.1500015258789,2023-01-01,7134.5498046875,1951742.0,1774310.9090909092
,2013-11-01,146.77499389648438,2017-04-01,606.75,93585.0,63233.10810810811
,2021-04-01,980.8499755859375,2021-08-01,727.2999877929688,-7521.0003662109375,-767.6840127079219
,2020-11-01,693.0821533203125,2020-12-01,11.242118835449219,-29280.010189056396,-4226.8277346344075
,2017-11-01,1438.5999755859375,2019-07-01,804.9000244140625,-13508.00048828125,-921.4188600464701
,2021-12-01,1571.0999755859375,2024-03-01,1757.449951171875,2831.0,175.72936064556177
,2017-11-01,117.6500015258789,2018-09-01,60.29999923706055,-14922.5,-12281.893004115225
,2020-12-01,48.650001525878906,2023-09-01,81.1500015258789,19804.400939941406,40417.144775390625
,2021-07-01,81.3499984741211,2023-01-01,66.0999984741211,-5152.0,-6400.0
,2010-04-01,1046.675048828125,2015-04-01,1948.6500244140625,25232.20068359375,2408.8019745674223
,2021-04-01,1083.0902099609375,2023-10-01,1020.4500122070312,-1589.6596069335938,-147.28257949899802
,2010-08-01,59.59679412841797,2020-03-01,2215.800048828125,1066909.793598175,1811177.4818646857
,2010-07-01,34.90999984741211,2013-02-01,40.599998474121094,1202.5980339050293,3052.2791556622983
,2021-01-01,1124.4000244140625,2023-02-01,2198.60009765625,28002.0,2489.0666666666666
,2009-07-01,118.80000305175781,2010-04-01,83.3499984741211,-8794.800384521484,-7344.300947408338
